FID,Shelf_stack,Sex,Diet,Level,Size,Batch,P_day,P2_day,L_day,L2_day,ZP,ZP2,ZL,ZL2,Ln,Wt,CI
LR417,I2,F,2,100,L,3,0.03558,0.001265936,0.0078,6.08E-05,-0.057132855,-0.255677669,-0.302938128,-0.435987778,48.5,1.39,-0.00081111
LR418,I2,F,5,100,L,3,0.033973333,0.001154187,0.020906667,0.000437089,-0.138838192,-0.316761543,1.362554244,1.129130833,47.5,1.2,-0.083177213
LR419,I2,F,3,100,S,3,0.03612,0.001304654,0.01435,0.000205922,-0.029671731,-0.234513762,0.529384463,0.167625782,47,1.05,-0.183888617
LR420,I2,M,2,50,L,3,0.027673333,0.000765813,0.006066667,3.68E-05,-0.527083565,-0.517273166,-0.595622225,-0.641062477,48,1.43,0.059699357
LR421,I2,M,2,100,S,3,0.055346667,0.003063254,0.012133333,0.000147218,0.664301063,0.352183255,0.167960539,-0.145775107,35,0.49,-0.031719687
LR422,I2,M,2,75,L,3,0.04151,0.00172308,0.0091,8.28E-05,0.068608749,-0.154999689,-0.213830843,-0.434726381,48,1.28,-0.051115009
LR423,I2,M,3,50,S,3,0.01806,0.000326164,0.007175,5.15E-05,-0.940954086,-0.683656392,-0.456121554,-0.575124638,42,0.94,0.054291782
LR424,I2,M,1,75,L,3,0.0315,0.00099225,0.00308,9.49E-06,-0.362338968,-0.431579081,-0.971539976,-0.76356332,38,0.64,-0.019715074
LR425,I3,M,2,100,S,3,0.055346667,0.003063254,0.012133333,0.000147218,0.664301063,0.352183255,0.167960539,-0.145775107,NA,NA,NA
LR426,I3,M,4,100,S,3,0.020657778,0.000426744,0.002426667,5.89E-06,-0.829115274,-0.645592334,-1.053771933,-0.779711362,42,0.84,-0.058186201
LR427,I3,M,5,100,S,3,0.02184,0.000476986,0.01344,0.000180634,-0.778218584,-0.626578471,0.332424579,0.00411461,46,1.07,-0.098319497
LR428,I3,F,4,50,L,3,0.014017778,0.000196498,0.001646667,2.71E-06,-1.153656656,-0.840250384,-1.08485539,-0.677604568,43,0.8,-0.179955262
LR429,I3,M,5,75,S,3,0.01638,0.000268304,0.01008,0.000101606,-1.013280975,-0.705553254,-0.090482845,-0.350370803,45,0.98,-0.118014153
LR430,I3,M,3,100,L,3,0.056186667,0.003156942,0.022322222,0.000498282,0.700464508,0.387639065,1.450388155,1.428946092,48.5,1.35,-0.030010264
LR431,I3,F,3,100,L,3,0.03612,0.001304654,0.01435,0.000205922,-0.029671731,-0.234513762,0.529384463,0.167625782,50.5,1.56,-0.010757602
LR432,I3,F,3,50,S,3,0.01806,0.000326164,0.007175,5.15E-05,-0.948093768,-0.769372778,-0.382358222,-0.474669757,NA,NA,NA
LR433,I1,F,3,75,L,3,0.02709,0.000733868,0.0107625,0.000115831,-0.48888275,-0.546514946,0.073513121,-0.207094448,47,1.18,-0.067164342
LR434,I1,F,3,75,L,3,0.02709,0.000733868,0.0107625,0.000115831,-0.48888275,-0.546514946,0.073513121,-0.207094448,54.5,1.9,-0.050005662
LR435,I1,F,1,50,L,3,0.0135,0.00018225,0.00132,1.74E-06,-1.179987704,-0.84803858,-1.126365668,-0.68163914,51,1.41,-0.142410222
LR436,I1,F,4,100,S,3,0.020657778,0.000426744,0.002426667,5.89E-06,-0.815986539,-0.714394066,-0.985739112,-0.664377827,40.5,0.61,-0.265336342
LR437,I1,F,3,50,L,3,0.01806,0.000326164,0.007175,5.15E-05,-0.948093768,-0.769372778,-0.382358222,-0.474669757,51,1.44,-0.121356813
LR438,I1,M,1,50,L,3,0.021,0.000441,0.002053333,4.22E-06,-0.814382029,-0.640197214,-1.100761731,-0.78720226,44.5,1.03,-0.033599098
LR439,I1,M,3,75,L,3,0.04214,0.00177578,0.016741667,0.000280283,0.095731333,-0.135055606,0.747989901,0.451096906,45.5,0.93,-0.204652763
LR440,I1,M,2,75,S,3,0.04151,0.00172308,0.0091,8.28E-05,0.068608749,-0.154999689,-0.213830843,-0.434726381,43,1.07,0.110846938
LR441,I2,M,1,75,L,3,0.0315,0.00099225,0.00308,9.49E-06,-0.362338968,-0.431579081,-0.971539976,-0.76356332,NA,NA,NA
LR442,I2,M,2,100,S,3,0.055346667,0.003063254,0.012133333,0.000147218,0.664301063,0.352183255,0.167960539,-0.145775107,44,1.13,0.094104851
LR443,I2,F,3,50,L,3,0.01806,0.000326164,0.007175,5.15E-05,-0.948093768,-0.769372778,-0.382358222,-0.474669757,45.5,1.16,0.016337935
LR444,I2,F,1,50,S,3,0.0135,0.00018225,0.00132,1.74E-06,-1.179987704,-0.84803858,-1.126365668,-0.68163914,43,1.05,0.091978453
LR445,I2,M,4,100,L,3,0.028035556,0.000785992,0.003293333,1.08E-05,-0.511489242,-0.509636512,-0.944688753,-0.757687227,42.5,0.93,0.006892396
